val,City name,City name (CDP),City name (carbonn),City name (PKU),City name (GEA),City name (UITP),City name (WB),Definition (CDP),Definition (carbonn),Definition (WB),Study year (WB),Reporting year (CDP),Scope-1 GHG emissions [tCO2 or tCO2-eq],Scope-1 source dataset,Scope-1 GHG emissions units,Year of emission,Latitude (others) [degrees],Longitude (others) [degrees],Country,Region,Population (CDP),Population year (CDP),Population (others),Population year (others)
0,Aarhus,Aarhus Kommune,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2,2016,56.167,10.25,Denmark,Europe,320000,2016,330639,2016
1,Abington,Abington Township,,,,,,Other: Municipal boundary,,,,2016,193345,CDP,tCO2-eq,2010,40.1,-75.099722,USA,North America,55310,2010,55557,2016
2,Addis Ababa,Addis Ababa City Administration,,,,,,Administrative boundary of a local government,,,,2016,3708292,CDP,tCO2-eq,2012,9.03,38.74,Ethiopia,Africa,3384569,2008,3270000,2016
3,Adelaide,City of Adelaide,,,,,,Administrative boundary of a local government,,,,2016,63724,CDP,tCO2-eq,2013,-34.929,138.601,Australia,Oceania,23169,2015,22393,2010
4,Aerøskøbing,City of Ærøskøbing,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2,2015,54.883,10.333333,Denmark,Europe,6200,2015,6383,2014
5,Aguascalientes,,Municipality of Aguascalientes,,,,,,Municipality,,,,3839803,carbonn,tCO2-eq,2010,21.8897,-102.295,Mexico,Latin America & Caribbean,,,934424,2012
6,Ahmedabad,,Ahmedabad Municipal Corporation,,Ahmadabad,,,,Municipality,,,,13855311,carbonn,tCO2-eq,2008,23.03,72.58,India,South Asia,,,5633927,2011
7,"Ajax, ON","Town of Ajax, ON",,,,,,Administrative boundary of a local government,,,,2016,6354,CDP,tCO2,2008,43.858,-79.036389,Canada,North America,109600,2011,109600,2011
8,Albany,City of Albany,,,,,,Administrative boundary of a local government,,,,2017,663997,CDP,tCO2-eq,2010,42.653,-73.757222,USA,North America,97856,2010,98111,2016
9,"Alton, IL","City of Alton, IL",,,,,,Administrative boundary of a local government,,,,2016,138542,CDP,tCO2-eq,2013,38.901,-90.159722,USA,North America,26581,2015,26861,2016
10,Amman,Greater Amman Municipality,,,,,,A metropolitan area,,,,2016,3322603,CDP,tCO2-eq,2014,31.95,35.932778,Jordan,"North Africa, Middle East, West Asia",3604459,2015,4007526,2016
11,Amsterdam,City of Amsterdam,,,Amsterdam,Amsterdam,,Administrative boundary of a local government,,,,2016,2161000,CDP,tCO2,2016,52.367,4.9,Netherlands,Europe,822272,2015,810000,2016
12,Anshan,,,Anshan,,,,,,,,,3293364.54581,PKU,tCO2,2010,41.1166666667,122.983333333,China,East Asia,,,1529850,
13,Anyang,,,Anyang,,,,,,,,,917789.196792,PKU,tCO2,2010,36.1,114.333333333,China,East Asia,,,950301,
14,"Arlington, VA","City of Arlington, VA",,,,,,Administrative boundary of a local government,,,,2016,1257464,CDP,tCO2-eq,2015,38.881,-77.1372613,USA,North America,216700,2015,230050,2016
15,Aspen and Pitkin County,City of Aspen and Pitkin County,,,,,,A metropolitan area,,,,2016,,CDP,tCO2-eq,2014,39.195,-106.837002,USA,North America,8427,2010,7710,2010
16,Athens,City of Athens,,,Athens,Athens,,Administrative boundary of a local government,,,,2016,1260355,CDP,tCO2-eq,2014,37.984,23.727806,Greece,Europe,664046,2011,660000,2016
17,Atlanta,City of Atlanta,,,,Atlanta,,Administrative boundary of a local government,,,,2016,3548215,CDP,tCO2-eq,2014,33.755,-84.39,USA,North America,443775,2013,472522,2016
18,Auckland,Auckland Council,,,,,,Administrative boundary of a local government,,,,2016,9133523,CDP,tCO2-eq,2013,-36.841,174.74,New Zealand,Oceania,1569900,2015,1570000,2016
19,Austin,City of Austin,,,Austin,,Austin ,Combination of administrative divisions,,City ,2005,2016,6439000,CDP,tCO2-eq,2013,30.267,-97.733333,USA,North America,888204,2015,947890,2016
20,Balikpapan,,City of Balikpapan,,,,,,Municipality,,,,481003,carbonn,tCO2-eq,2015,-1.23793,116.852853,Indonesia,Southeast Asia,,,736806,2015
21,Baltimore,City of Baltimore,,,,,,Administrative boundary of a local government,,,,2017,4019044,CDP,tCO2-eq,2014,39.283,-76.616667,USA,North America,614664,2016,614664,2016
22,Bandung,,City of Bandung,,,,,,Municipality,,,,2660.98238,carbonn,tCO2-eq,2013,-6.91746,107.619123,Indonesia,Southeast Asia,,,2575478,2015
23,Bangalore,,Bengaluru Municipal Corporation,,Bangalore,,,,Municipality,,,,5568706.7,carbonn,tCO2-eq,2008,12.97029,77.596152,India,South Asia,,,12339447,2017
24,Baoding,,,Baoding,,,,,,,,,2946568.18924,PKU,tCO2,2010,38.8666666667,115.466666667,China,East Asia,,,1157891,
25,Baotou,,,Baotou,,,,,,,,,3363195.27344,PKU,tCO2,2010,40.65,109.833333333,China,East Asia,,,2070801,
26,Barcelona,,Municipality of Barcelona,,Barcelona,,Barcelona ,,Municipality,City ,2006,,3595726,carbonn,tCO2-eq,2012,41.38506,2.173403,Spain,Europe,,,1604555,2015
27,Barranquilla,,Municipality of Barranquilla,,,,,,Municipality,,,,3023515,carbonn,tCO2-eq,2013,10.987778,-74.788889,Colombia,Latin America & Caribbean,,,1228271,2017
28,Barreiro,Barreiro,,,,,,Administrative boundary of a local government,,,,2016,203441,CDP,tCO2,2014,38.667,-9.066667,Portugal,Europe,78764,2011,78764,2011
29,Basel,Basel-Stadt,,,,,,Administrative boundary of a local government,,,,2017,783932,CDP,tCO2-eq,2016,47.567,7.6,Switzerland,Europe,198206,2016,197000,2016
30,Batangas,Batangas City,,,,,,A metropolitan area,,,,2016,344419,CDP,tCO2-eq,2010,13.83,121,Philippines,Southeast Asia,332458,2015,329874,2015
31,Beijing,,,Bejing,Beijing,Beijing,Beijing ,,,Beijing Government Administered Area (Province) ,2006,,75104879.0068,PKU,tCO2,2010,39.9166666667,116.383333333,China,East Asia,,,18766000,
32,Belo Horizonte,Municipality of Belo Horizonte,,,,,,Administrative boundary of a local government,,,,2016,2804787,CDP,tCO2-eq,2013,-19.917,-43.933333,Brazil,Latin America & Caribbean,2502557,2015,2502557,2014
33,Benicia,City of Benicia,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2-eq,2010,38.063,-122.156111,USA,North America,27450,2014,28174,2016
