val,City name,City name (CDP),City name (carbonn),City name (PKU),City name (GEA),City name (UITP),City name (WB),Definition (CDP),Definition (carbonn),Definition (WB),Study year (WB),Reporting year (CDP),Scope-1 GHG emissions [tCO2 or tCO2-eq],Scope-1 source dataset,Scope-1 GHG emissions units,Year of emission,Emissions protocol,Gases included (CDP),Methodology details (CDP),Increase/Decrease from last year (CDP),Reason for increase/decrease in emissions (CDP),Scope-2 (CDP) [tCO2-eq],Total emissions (CDP) [tCO2-eq],CDP2016 data edited (CDP),Emissions Quality Flag (CDP),S1 lower bound [tCO2] (CDP),S1 upper bound [tCO2] (CDP),S1 mean (CDP) [tCO2],TOT lower bound [tCO2] (CDP),TOT upper bound [tCO2] (CDP),TOT mean (CDP) [tCO2],Scope fraction (CDP),CO2 emissions per capita (PKU) [tCO2/capita],City location (CDP) [degrees],Latitude (others) [degrees],Longitude (others) [degrees],Coordinate source (others),Country,Region,Population (CDP),Population year (CDP),Population (carbonn),Population year (carbonn),Urban population (PKU),Population (GEA),Population (UITP),Population (WB),Population year (WB),Population (others),Population year (others),Population source (others),Population 1950 (WB),Population 1990 (WB),Population 2010 (WB),Population growth rate 1950-2010 (WB) [people/60years],Population growth rate 1990-2010 (WB) [people/20years],Ancillary from GEA+,City area (CDP) [km2],City area (GEA) [km2],City area (WB) [km2],Built-up area (PKU) [km2],City area (others) [km2],City area source year (others),City area source (others),Population density (GEA) [people/km2],Population density (UITP) [people/km2],Population density (WB) [people/km2],Population/sqrt(area) (GEA) [people/km],Population/sqrt(area) (WB) [people/km],Average altitude [m],Average annual temperature (CDP) [degrees Celsius],Weather station ID (GEA+),CDD 23C (GEA+) [degrees C × days],HDD 15.5C (GEA+) [degrees C × days],HDD 15.5C (clim) [degrees C × days],CDD 23C (clim) [degrees C × days],GDP (CDP) [multiple units],GDP unit (CDP),GDP year (CDP),GDP source (CDP),GDP (carbonn) [multiple units],nGDP (carbonn) [multiple units],GDP unit (carbonn),GDP year (carbonn),GDP (PKU) [10000 RMB],Income per capita (PKU) [RMB/capita],GDP-PPP (others) [$BN],GDP-PPP/capita (others) [USD/capita],GDP-PPP source (others),GDP-PPP year (others),nGDP (others) [$BN],nGDP/capita (others) [USD/capita],nGDP source (others),nGDP year (others),GDP-PPP/capita (GEA) [USD/year],GDP-PPP/capita (UITP) [USD/year],GDP-PPP/capita (WB) [USD/year],Total final consumption per capita (GEA) [GJ/capita/yr],Energy per capita CO2 (WB) [tCO2-eq/capita/yr],Diesel price (GEA+) [USD/liter],Gasoline price (GEA+) [USD/liter],Center of commerce index (GEA+) [dimensionless],Household size (GEA+) [people/household],Household size year (GEA+),Household source (GEA+),Household size comment (GEA+),Urbanization ratio (GEA+) [percent],Water bounded (GEA+),Other bounded (GEA+),Mean one-way travel time (others) [minutes],Mean one-way travel time year (others),Mean one-way travel time source (others),Diesel price 2014 (others) [USD/liter],Gasoline price 2014 (others) [USD/liter],Household size (others) [people/household],Household size year (others),Household size source (others),Household size comment (others),Congestion rank (INRIX) [dimensionless],Peak hours spent in congestion (INRIX) [hours],INRIX congestion index (INRIX) [dimensionless],Average congestion rate (INRIX) [percent],Congestion rank (TomTom) [dimensionless],Congestion level (TomTom) [× 100 percent],Congestion change (TomTom) [× 100 percent],Morning peak (TomTom) [percent],Evening peak (TomTom) [percent],Economy (IESE) [dimensionless],Environment (IESE) [dimensionless],Governance (IESE) [dimensionless],Human capital (IESE) [dimensionless],International impact (IESE) [dimensionless],Mobility and transportation (IESE) [dimensionless],Public management (IESE) [dimensionless],Social cohesion (IESE) [dimensionless],Technology (IESE) [dimensionless],Urban planning (IESE) [dimensionless],CIMI (IESE) [dimensionless],CIMI ranking (IESE) [dimensionless],CIMI performance (IESE) [dimensionless],Urban area name (UEX),Low BUA - 1990 (UEX) [km2],Low BUA - 2000 (UEX) [km2],Low BUA - 2014 (UEX) [km2],High BUA - 1990 (UEX) [km2],High BUA - 2000 (UEX) [km2],High BUA - 2014 (UEX) [km2],Low BUA % - 1990 (UEX) [percent],Low BUA % - 2000 (UEX) [percent],Low BUA % - 2014 (UEX) [percent],High BUA % - 1990 (UEX) [percent],High BUA % - 2000 (UEX) [percent],High BUA % - 2014 (UEX) [percent],Low BUA population density - 1990 (UEX) [people/km2],High BUA population density - 1990 (UEX) [people/km2],Low BUA population density - 2000 (UEX) [people/km2],High BUA population density - 2000 (UEX) [people/km2],Low BUA population density - 2014 (UEX) [people/km2],High BUA population density - 2014 (UEX) [people/km2],Exports (others) [m3],Production (others) [m3],Natgas Export/Production ratio (others),CH4_waste/capita (others) [tCH4/capita],CH4_waste+natgas/capita (others) [tCH4/capita],Corrected CH4_(waste+natgas)/capita (others) [tCH4/capita],Year from CIA (others),AQF (CDP/GEA),AQF (CDP/WB),AQF (CDP/OTHERS),AQF (PKU/GEA),AQF (PKU/WB),AQF (PKU/OTHERS),PQF (CDP),PQF (carbonn),PQF (WB),PQF (WB2010),PQF (OTHERS),HQF (GEA+),HQF (OTHERS)
0,Aarhus,Aarhus Kommune,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2,2016,Other,CO2,CO2-beregneren (National guideline for municipalities),,,,1900,,D,,,,,,,,,"(56.168393, 10.137373)",56.167,10.25,https://en.wikipedia.org/wiki/Aarhus_Municipality,Denmark,Europe,320000,2016,,,,,,,,330639,2016,http://statistikbanken.dk/,,,,,,,,,,,467.85,,http://www.noegletal.dk/noegletal/servlet/nctrlman.aReqManager,,,,,,,,,,,2582,0,,,,,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,1.8,2.01,2.10362550178588,2017,http://www.statistikbanken.dk/statbank5a/SelectVarVal/saveselections.asp,,462,16,3.1,6.5%,- ,0.23,0.02,37%,39%,,,,,,,,,,,,,,Aarhus Kommune Urban Area,37.625,40.125,42.6875,77.375,85.25,93.3125,0.327173913043478,0.320039880358923,0.313878676470588,0.672826086956522,0.679960119641077,0.686121323529412,238.58180900699,2948.64334866848,257.630589338775,2660.08338107112,244.122635722515,2783.30358856569,4517000000,6412000000,0.7,0.0106834006,0.01703133,0.0125594652,,,,,,,,1,,,,1,,1
1,Abington,Abington Township,,,,,,Other: Municipal boundary,,,,2016,193345,CDP,tCO2-eq,2010,Other,CO2; CH4; N2O; HFCs; PFCs; SF6,"The Delaware Valley Regional Planning Commission (DVRPC) is the designated Metropolitan Planning Organization (MPO) for the Greater Philadelphia Region. DVRPC works to promote regional cooperation
in a 9-county, bi-state region. The region includes Bucks, Chester, Delaware, Montgomery (the county where Abington Township is located and the third largest Pennsylvania county), and
Philadelphia counties in Pennsylvania; and Burlington, Camden, Gloucester, and Mercer counties in New Jersey. DVRPC facilitates city, county and state representatives of this region to address key concerns
such as transportation, land use, environmental protection and economic development. DVRPC conducts a regional Energy Use and Greenhouse Gas Emissions Inventory on a 5-year interval, with the most recent inventory reflecting year 2010 conditions as summarized below: 1. DVRPC conducted a baseline inventory in 2005 which may be found at http://www.dvrpc.org/reports/09038A.pdf (Abington's results may be found on line 1 of page 66 or A-13 of this document under the Table ""Montgomery County, PA – 2005 Greenhouse Gas Emissions Allocated to Municipality (MTCO2E)""; 
2. A 2010 inventory for which Abington Townships results may be found at http://www.dvrpc.org/webmaps/MunicipalEnergy/mcdDetail.aspx?mcdcode=4209100156 under ""GHG Emissions by Sector"" which is further broken down at the end under ""Non-Energy Greenhouse Gas Emissions.""  The 2010 results are what is being reported for this questionnaire.",Decreased,"Energy efficiency by residents, businesses, industries, municipal government, and institutions such as hospitals and four public schools with geothermal HVAC, and a cleaner electricity generation mix contributed to this decrease.",421879,615224,,A,138111.799837664,165934.941020844,152023.370429254,559990.799837664,587813.941020844,573902.370429254,1,,"(40.12408, -75.119511)",40.1,-75.099722,"https://en.wikipedia.org/wiki/Abington_Township,_Montgomery_County,_Pennsylvania",USA,North America,55310,2010,,,,,,,,55557,2016,https://www.census.gov/quickfacts/fact/table/abingtontownshipmontgomerycountypennsylvania/PST045216,,,,,,,40.1,,,,40.1707449,2010,https://www.census.gov/quickfacts/fact/table/abingtontownshipmontgomerycountypennsylvania/PST045216,,,,,,86,13.6,,,,627,48,,,,,,,,,,,,,,2008,,,[20] Economic growth widespread across metropolitan areas in 2014. GDP by metropolitan area statistics. Available at https://bea.gov/newsreleases/regional/gdp_metro/2015/pdf/gdp_metro0915.pdf,,,,,,,,,,,,,,,,,27.8,(2011-2015),,0.97,0.86,2.62,2011-2015,https://www.census.gov/quickfacts/fact/table/abingtontownshipmontgomerycountypennsylvania/PST045216,,,,,,,,,,,,,,,,,,,,,,,,see: New York and Philadelphia Urban Area,,,,,,,,,,,,,,,,,,,42870000000,766200000000,0.06,0.0176989817,0.0367294791,0.0356646952,,,,1,,,,1,,,,0,,1
2,Addis Ababa,Addis Ababa City Administration,,,,,,Administrative boundary of a local government,,,,2016,3708292,CDP,tCO2-eq,2012,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O,Reported according to the BASIC+ requirement,This is our first year of calculation,lack of capacity,,3708292,CDP2016 TOT likely wrong because one scope is missing.,E,1983266.67276584,3298555.81421744,2640911.24349164,1983266.67276584,3298555.81421744,2640911.24349164,,,"(9.028874, 38.754366)",9.03,38.74,https://en.wikipedia.org/wiki/Addis_Ababa,Ethiopia,Africa,3384569,2008,,,,,,,,3270000,2016,http://www.c40.org/cities/addis-ababa,,,,,,,540,,,,540,2016,http://www.c40.org/cities/addis-ababa,,,,,,2650,,,,,73,0,,ETB     Ethiopian Birr,,,,,,,,,12,,[2]  Global city GDP rankings 2008-2025. Pricewaterhouse Coopers. Archived from the original on 4 May 2011. Retrieved 27/09/2017 at https://web.archive.org/web/20110504031739/https://www.ukmediacentre.pwc.com/imagelibrary/downloadMedia.ashx?MediaDetailsID=1562,2008,,,,,,,,,,,,,,,,,,,,,,,0.89,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,Addis Ababa City Administration Urban Area,82.375,103.75,202.125,102.8125,155.0625,281.75,0.444819439757003,0.400869355228206,0.417721518987342,0.555180560242997,0.599130644771794,0.582278481012658,935.715604190152,10768.6152251577,3063.22749910656,16527.7609118362,1600.27738176964,13451.8381597321,0,1,0,0.0043235742,0.0182026271,0.0182026271,,,,1,,,,1,,,,1,,
3,Adelaide,City of Adelaide,,,,,,Administrative boundary of a local government,,,,2016,63724,CDP,tCO2-eq,2013,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O,,Decreased,"Reduction in electricity consumption, a reduction in the greenhouse gas intensity of the state electricity grid and a change in methodology used for estimating transport inventories.",422817,486541,,A,41872.9652379316,45693.5509093012,43783.2580736164,464689.965237932,468510.550909301,466600.258073616,1,,"(-34.928499, 138.600746)",-34.929,138.601,https://en.wikipedia.org/wiki/Adelaide,Australia,Oceania,23169,2015,,,,,,,,22393,2010,https://en.wikipedia.org/wiki/City_of_Adelaide#cite_note-1,,,,,,,16,,,,15.57,,https://en.wikipedia.org/wiki/City_of_Adelaide,,,,,,38,18,,,,528,60,18360000000,AUD     Australian Dollar,2015,:  http://economy.id.com.au/adelaide,,,,,,,47.433,36217,"[1] Berube A., J. L. Trujillo, T. Ran, J. Parilla (Thursday, January 22, 2015), Brookings/Global Metro Monitor Report. Available online at https://www.brookings.edu/wp-content/uploads/2015/01/bmpp_gmm_final.pdf and the 2014 Global Metro Monitor Map, available at https://www.brookings.edu/research/global-metro-monitor/. The data retrieved 27/09/2017.",2014,56,46242.774566474,[19],,,,,,,,,,,,,,,,,33.23,2014-2017,https://www.numbeo.com/traffic/in/Adelaide [BASED ON 37 CONTRIBUTORS],1.28,1.23,1.7,2011,http://www.censusdata.abs.gov.au/census_services/getproduct/census/2011/quickstat/SED40001?opendocument&navpos=220,,,,,,100,0.27,0.02,45%,41%,,,,,,,,,,,,,,City of Adelaide Urban Area,234.5625,244.5,250.125,595,617.625,639.25,0.282754463949371,0.283601565898217,0.281236823612087,0.717245536050629,0.716398434101783,0.718763176387913,401.928178907747,6206.60559235331,75.9820796470134,1470.03035279979,74.7925803688524,1789.25977761853,31610000000,62640000000,0.5,0.0277933709,0.039682077,0.0336826837,,,,1,,,,1,,,,1,,1
4,Aerøskøbing,City of Ærøskøbing,,,,,,Administrative boundary of a local government,,,,2016,,CDP,tCO2,2015,Other,CO2,,Decreased,More renewable energi.,,225,,D,,,,,,,,,"(54.891456, 10.404684)",54.883,10.333333,https://en.wikipedia.org/wiki/Ærø,Denmark,Europe,6200,2015,,,,,,,,6383,2014,(whole island of Ærø) https://en.wikipedia.org/wiki/Ærø,,,,,,,88,,,,88,,https://en.wikipedia.org/wiki/%C3%86r%C3%B8,,,,,,10,10,,,,2335,0,,,,,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,1.8,2.01,1.79083260806498,2017,http://www.statistikbanken.dk/statbank5a/SelectVarVal/saveselections.asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4517000000,6412000000,0.7,0.0106834006,0.01703133,0.0125594652,,,,1,,,,1,,,,1,,1
5,Aguascalientes,,Municipality of Aguascalientes,,,,,,Municipality,,,,3839803,carbonn,tCO2-eq,2010,Community,,,,,,,,,,,,,,,,,,21.8897,-102.295,carbonn,Mexico,Latin America & Caribbean,,,934424,2012,,,,,,934424,2012,Wikipedia,,,,,,,,,,,385,2012,Wikipedia,,,,,,,,,,,24,2385,,,,,8321480,9736522.00867773,USD,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02,1.03,,,,,480,16,3.7,8.1%,,,,,,,,,,,,,,,,,,,Aguascalientes Urban Area,57,63.1875,72.9375,70.5,96.5,130.4375,0.447058823529412,0.395694716242661,0.358635525507068,0.552941176470588,0.604305283757339,0.641364474492932,1846.46179966597,17478.1569122665,1457.2582249642,6440.99130945749,417.509763307557,7286.42363132537,,,,,,,,,,,,,,,1,,,1,,
6,Ahmedabad,,Ahmedabad Municipal Corporation,,Ahmadabad,,,,Municipality,,,,13855311,carbonn,tCO2-eq,2008,Community,,,,,,,,,,,,,,,,,,23.03,72.58,carbonn,India,South Asia,,,5570585,2011,,4900000,,,,5633927,2011,Wikipedia,,,,,,1,,464,,,464.165,2011,Wikipedia,10560.3448275862,,,227476.789266889,,,,VAAH,2120,26,0,1510,,,,,,10930377619.2687,,,,,49,,[2],2008,12,1954.39739413681,"[3] The Most Dynamic Cities of 2025. Foreign Policy. Retrieved 24/08/2012. http://foreignpolicy.com/2012/08/07/the-most-dynamic-cities-of-2025/,
[19] Global Cities of the Future. Dynamic map. McKinsey&CompacKinsey Global Institute City Scope v2.0 Last updated June 2012. Retrieved 27/09/2017. Available at: http://www.mckinsey.com/tools/Wrappers/Redesign/InteractiveWrapper.aspx?sc_itemid={C84CB74F-A3B1-47B1-8265-6252F6D85B68}",2010,6247.85352063617,,,15.7732751428571,,0.7,1.09,,4.8,2011,Household: http://www.censusindia.gov.in/2011census/hlo/District_Tables/Distt_table/24/HH1604-2400CRCD.pdf -- Population: http://www.censusindia.gov.in/2011-prov-results/prov_data_products_gujarat.html,Calculation: pop/household (7208200/1494656),29.235,0,River,,,,0.91,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Ahmedabad Urban Area,169.125,195.1875,253.25,246.25,284.375,370.375,0.407162202828769,0.407011599113776,0.406093405492083,0.592837797171231,0.592988400886224,0.593906594507917,602.098195619898,4249.95271171154,1340.10849474731,19016.3517220499,1134.35657549905,19233.7632585539,,,,,,,,,,,,,,,1,,,1,1,
7,"Ajax, ON","Town of Ajax, ON",,,,,,Administrative boundary of a local government,,,,2016,6354,CDP,tCO2,2008,International Emissions Analysis Protocol (ICLEI),CO2,PCP Protocol method,Increased,"Emissions have increased as the population of the Town has increased since 2008 from 103,855 to 130,335 people in 2016.",,538836,,C,,,,,,,,,"(43.850855, -79.020373)",43.858,-79.036389,"https://en.wikipedia.org/wiki/Ajax,_Ontario",Canada,North America,109600,2011,,,,,,,,109600,2011,"https://en.wikipedia.org/wiki/Ajax,_Ontario#cite_note-census2011-2",,,,,,,67.1,,,,67.07,,"https://en.wikipedia.org/wiki/Ajax,_Ontario#cite_note-census2011-2",,,,,,90,7.8,,,,1834,18,,CAD     Canadian Dollar,,,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,34.9,2011,"Avg for DURHAM region, not specifically Ajax. https://www.durhamregion.com/community-story/6261303-durham-commuter-life-getting-longer-more-time-consuming/",1.16,1.17,3.2,2011,average number of persons per census family [http://www12.statcan.ca/nhs-enm/2011/dp-pd/prof/details/page.cfm?Lang=E&Geo1=CSD&Code1=3518005&Data=Count&SearchText=ajax&SearchType=Begins&SearchPR=35&A1=All&B1=Families%20and%20households&Custom=&amp;TABID=1#tabs2]average number of persons per census family [http://www12.statcan.ca/nhs-enm/2011/dp-pd/prof/details/page.cfm?Lang=E&Geo1=CSD&Code1=3518005&Data=Count&SearchText=ajax&SearchType=Begins&SearchPR=35&A1=All&B1=Families%20and%20households&Custom=&amp;TABID=1#tabs2],,,,,,,,,,,,,,,,,,,,,,,,see: Toronto Urban Area,,,,,,,,,,,,,,,,,,,77960000000,151500000000,0.51,0.046860437,0.1017275144,0.0734936045,,,,1,,,,1,,,,1,,1
8,Albany,City of Albany,,,,,,Administrative boundary of a local government,,,,2017,663997,CDP,tCO2-eq,2010,Other: New York Community and Regional GHG Inventory Guidance,CO2; CH4; N2O; HFCs; PFCs; SF6,http://cdrpc.org/programs/sustainability/climate-smart-communities-csc/ghg-inventory/,Other: The City of Albany has not conducted a community GHG inventory update since the baseline year.,"Technically the City has a community inventory data for baseline year 2009, an update for 2010, and an updated for 2013. However the results are not directly comparable as the 2009 was conducted specifically for Albany and 2010 was scaled down from a regional inventory and Energy Plan was conducted separately. We need to do a more robust update to ensure apples to apples comparison.",553094,1217091,Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).,A,566276.876422246,615502.356509414,590889.61646583,1119370.87642225,1168596.35650941,1143983.61646583,1,,"(42.6526, -73.7562)",42.653,-73.757222,"https://en.wikipedia.org/wiki/Albany,_New_York",USA,North America,97856,2010,,,,,,,,98111,2016,https://www.census.gov/quickfacts/fact/table/albanycitynewyork/PST045216,,,,,,,55,,,,55.3998861,2010,https://www.census.gov/quickfacts/fact/table/albanycitynewyork/PST045216,,,,,,9,9,,,,2430,3,49621,USD     US Dollar,2013,U.S. Bureau of Economic Analysis,,,,,,,58.397,66342,[1],2014,52,59633.0275229358,[19],,,,,,,,,,,,,,,,,19.1,(2011-2015),,0.97,0.86,2.19,2011-2015,https://www.census.gov/quickfacts/fact/table/albanycitynewyork/PST045216,,586,13,2.3,4.4%,178,0.14,0,18%,32%,,,,,,,,,,,,,,City of Albany Urban Area,187.5625,193.1875,200.1875,281.75,311.8125,336.375,0.399653748834732,0.382549504950495,0.373092603377985,0.600346251165268,0.617450495049505,0.626907396622015,261.091695874086,1019.54920900277,170.952655342129,1148.16342146259,147.03212864693,1131.75076895341,42870000000,766200000000,0.06,0.0176989817,0.0367294791,0.0356646952,,,,1,,,,1,,,,0,,1
9,"Alton, IL","City of Alton, IL",,,,,,Administrative boundary of a local government,,,,2016,138542,CDP,tCO2-eq,2013,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O,,This is our first year of calculation,,262537,401079,,A,111997.908632886,125369.214288104,118683.561460495,374534.908632886,387906.214288104,381220.561460495,1,,"(38.890604, -90.184276)",38.901,-90.159722,"https://en.wikipedia.org/wiki/Alton,_Illinois",USA,North America,26581,2015,,,,,,,,26861,2016,https://www.census.gov/quickfacts/fact/table/altoncityillinois/PST045216,,,,,,,43,,,,40.0671453,2010,https://www.census.gov/quickfacts/fact/table/altoncityillinois/PST045216,,,,,,132,13.7,,,,464,73,,USD     US Dollar,2015,,,,,,,,,,,2008,,,[20],,,,,,,,,,,,,,,,,22.7,(2011-2015),,0.97,0.86,2.27,2011-2015,https://www.census.gov/quickfacts/fact/table/altoncityillinois/PST045216,,,,,,,,,,,,,,,,,,,,,,,,see: Saint Louis Urban Area,,,,,,,,,,,,,,,,,,,42870000000,766200000000,0.06,0.0176989817,0.0367294791,0.0356646952,,,,1,,,,1,,,,1,,1
